 Symptoms,Disease,Treatment
"Paroxysmal severe coughing, wheezing, low fever, weight loss, fatigue and anorexia, thick sputum, blood-streaked sputum, asthmatic attacks, vomiting, diarrhea",Tropical Pulmonary Eosinophilia,"Treatment options for Tropical Pulmonary Eosinophilia include: 
(1) Treatment 
Diethylcarbamazine (DEC) is the drug of choice, with the dosage regimen being 6–8mg/(kg·day) divided into three oral doses, for a duration of three weeks. Clinical symptoms, elevated peripheral blood and BALF eosinophil counts, as well as abnormal pulmonary X-ray changes often improve within 7–10 days after the initiation of treatment. Approximately 20% of cases may relapse, in which case the dosage of DEC can be increased and the course of treatment appropriately extended, such as 8–12mg/(kg·day) for 3–4 weeks. For patients who do not respond to DEC treatment, alternative anthelmintic medications such as albendazole or levamisole can be considered. 
(2) Prognosis 
Maintain a healthy lifestyle and pay attention to diet."
"Swelling, skin itching, joint pain, fever",Erysipelas,"The treatment options for erysipelas include: 
1. For localized infections, high-dose penicillin is administered via intramuscular injection, 800,000 to 1,600,000 U, twice a day, or circumferential infiltration around the lesion with a mixture of penicillin and procaine hydrochloride. Local applications of water are to be avoided, and topical application of 10% to 20% ichthammol or erysipelas ointment, or alternate-day exposure to ultraviolet light, can be employed. 
2. For diffuse or septicemic infections, in addition to penicillin injections, oral sulfonamides or immunoserum injections may be utilized. 
3. Traditional Chinese Medicine treatments can be referred to under erysipelas. 
Prognosis: Without aggressive intervention, the septicaemic form of erysipelas may lead to death within approximately three months. The localized form generally resolves within 3 to 4 weeks but has a high risk of recurrence."
"Sudden fainting, unconsciousness, and cold limbs in reverse order",Syncope,"The treatment of syncope involves identifying the key patterns of deficiency (虚证) and excess (实证). In cases of excess, symptoms may include sudden fainting, facial flushing, coarse breathing, clenched fists, or phlegm congestion, with a red tongue and yellow-greasy coating, and a forceful pulse. Treatment principles for excess include opening the orifices, transforming phlegm, and clearing foulness to awaken the mind, using aromatic herbs that travel through all the meridians. For deficiency patterns presenting with dizziness, pale complexion, weak breath, or cold limbs, treatment focuses on augmenting qi, rescuing yang, and reviving to awaken the mind. This often requires supplementing qi and nourishing blood, with the possible inclusion of hemostasis and blood transfusion for those with significant blood loss. Additionally, treatment adjustments are made for qi-syncopal and blood-syncopal manifestations, with qi excess syncope involving the use of aromatic herbs to open orifices and relieve obstruction, and blood excess syncope requiring herbs that invigorate blood and descend qi. For deficiency states, significant emphasis is placed on nourishing qi and blood with formulations such as Duxin Tang or Ren Shen Yang Ying Tang to address acute situations. Chronic or underlying conditions may be managed with formulas designed to tonify the spleen and harmonize the liver, or to nourish the heart and calm the spirit. Phlegm syncope, marked by sudden unconsciousness with throat rattles or saliva vomiting, calls for formulations that promote qi movement and phlegm dispersion. In cases of summer syncope, arising from heatstroke, treatment aims to clear summer-heat, augment qi, and revive consciousness using strategies that include moving the patient to a cool place, administering oxygen, and employing Qing Kai Ling Injection or other appropriate formulas to reduce heat and restore consciousness."
"Pain, hypersensitivity, numbness, dull sensation",Neurofibromatosis,"There is no cure for neurofibromatosis. Tumors within the skull such as vestibular schwannomas (acoustic neuromas) or optic nerve gliomas and spinal tumors can be treated surgically. Radiotherapy may be an option for some patients, and antiepileptic drugs can be used to treat seizures. Pregnancy can accelerate the growth of vestibular schwannomas. Ketotifen, an inhibitor of mast cell histamine release, may relieve itchiness and localized tenderness when treated for 30-40 months."
"Itching, burning sensation, pain, and localized swelling and congestion of the glans penis",Balanoposthitis,"Treatment options for balanoposthitis include: 

 1. Topical treatment: Keeping the area clean and avoiding irritants are vital. Local applications of potassium permanganate solutions diluted to 1:5000 for soaking or wet compresses can be used. In cases where pus drainage from the preputial sac is inadequate, a dorsal slit of the prepuce may be performed to facilitate drainage and cleaning. Circumcision may be considered after infection control. 

 2. Specific treatment: For infections with an identified cause, targeted treatments should be applied. For candidal balanoposthitis, topical application of 1%-3% clotrimazole or ketoconazole cream is effective. Oral metronidazole is recommended for Trichomonas vaginalis infections. 

 3. Systemic treatment: Patients with severe infections, suspected necrotizing balanitis, fever, or enlarged inguinal lymph nodes require systemic antibiotic therapy. 

 Prognosis is generally good for patients without serious complications and who receive appropriate treatment."
"Chills, fever, headache",Orbital Cellulitis,"What are the treatments for Orbital Cellulitis? 
 Differential Treatment: 
 1. Wind-Heat in the Orbicularis Muscle Syndrome: Characterized by clear-edged, red, and swollen eyelids, with small vesicles at the margins, accompanied by fever, chills, headache, a red tongue with a thin yellow coating, and a floating and rapid pulse. The treatment principle is to dispel wind, clear heat, and detoxify. 
 2. Heat Toxin in the Orbicularis Muscle Syndrome: Marked by diffused dark red swelling of the eyelids, heavy and painful swelling, scorching pain in the affected area, or a deep hard lump turning soft and forming pus, alongside facial and cheek edema, high fever, thirst with a desire to drink, dark yellow urine, dry stools, a red tongue with a yellow coating, and a forceful and rapid pulse. The treatment principle is to purge fire and detoxify. 
 3. Heat Toxin Invasion Syndrome: Presents with diffuse swelling and burning pain in the head, face, and eyelids, swollen and red sclera, high fever, restlessness leading to delirium, nausea, vomiting, a dark red tongue, and a taut and rapid pulse. The treatment focuses on clearing toxic heat from the nutritive level, detoxification, and opening the orifices."
"Commonly located on the eye face, lateral eyebrow, nasal root, occiput, etc., the cysts are round, soft, painless, not adherent to the skin but may adhere to the deep fascia or bone, making them difficult to move.",Epidermoid Cyst,"What are the treatment options for an epidermoid cyst? 
Surgical excision is recommended. Berger advocates the use of intraoperative hydrocortisone irrigation (100mg/l) to reduce the occurrence of postoperative communicative hydrocephalus. Perioperative intravenous corticosteroids and the use of a large amount of saline irrigation intraoperatively can have a similar effect. Due to the dense cyst wall and severe adhesions with surrounding tissues, it is often necessary to leave a portion of the cyst wall behind; however, if the residual part is small, it does not rule out the possibility of achieving satisfactory results."
"Fatigue, loss of appetite, low fever in the afternoon, night sweats, weight loss, dull pain in the affected area, inability to bend at the waist but rather at the hips and knees",Spinal Tuberculosis,"Treatment of spinal tuberculosis can be categorized into non-surgical and surgical methods. 

1. Non-surgical treatment involves the decision on surgery based on the presence or absence of surgical indications. Even for patients who require surgery, a 2-4 week period of non-surgical treatment is adopted as pre-operative preparation. This includes systemic antitubercular medication and local immobilization. Typically, a combination of two antitubercular drugs is used initially for 3-6 months, followed by a transition to a single antitubercular drug for a total treatment duration of not less than two years. Local immobilization is achieved using a plaster corset (for thoracic and upper lumbar tuberculosis) and a plaster waist belt to one thigh (for lower lumbar tuberculosis), with a fixed period of 3 months during which bed rest is advised. For patients who cannot tolerate plaster immobilization, a custom-made plaster bed for 3 months can be used. 

2. Surgical methods include: 

  a) Incision and drainage of cold abscesses in cases of extensive spread leading to secondary infections and significant systemic toxic symptoms. However, incisions are difficult to heal, and due to the deep location of abscesses, drainage might not be efficient. Daily irrigation of the abscess cavity with 4% isoniazid solution and keeping the sinus tract open is recommended. Care should be taken not to allow foreign objects like rubber tubes or cotton balls to fall into the abscess cavity. Incision and drainage are not recommended for cold abscesses without secondary infection. 

  b) Lesionectomy, enabled by the successful synthesis and extraction of antitubercular drugs since the 1940s to 1950s, is performed with anterior and posterior approaches. The posterior approach is commonly used for thoracic spinal tuberculosis, while the anterior approach is preferred for cervical spinal tuberculosis. Post-operation stabilization with plaster is required for 3-4 months, followed by a decision on whether to remove or continue immobilization. 

  c) Posterior spinal fusion surgery combines posterior pedicle screw systems with anterior lesionectomy to enhance spinal stability, allowing early ambulation. Post-surgery, a plaster corset is fixed for 3-6 months. 

  d) Anterior spinal fusion surgery involves bone grafting and anterior internal fixation concurrently with lesionectomy to achieve immediate spinal stability and facilitate bone graft fusion. 

  e) Orthopedic surgery primarily focuses on correcting kyphotic deformities."
"Nystagmus, generalized skeletal muscle spasm, bradykinesia of hands and feet on both sides",Cerebral Palsy,"What are the treatment methods for cerebral palsy? 
1. Comprehensive rehabilitation treatment includes physical (sports) therapy, which encompasses gross and fine motor skills, balance and coordination training; activities such as crawling, purposeful pointing (nose, ears, etc.), training in grasping and holding objects, sitting up, swaying, supported walking (back against the wall, facing the wall), on-the-spot exercises (bending over to pick up objects, leg lifting training, standing on one leg, on-the-spot jumping), walking, running; and physical therapy, which includes neuro-electrical stimulation, thermotherapy, hydrotherapy; occupational therapy or capability training, though generally, the effect is average. Modern medical treatment methods are as follows: (i) Surgery; (ii) Orthotic devices; (iii) Hydrotherapy, electrotherapy, phototherapy, sonotherapy; (iv) Speech and communication therapy; (v) Motor function therapy; (vi) ADL (Activities of Daily Living) training. 
2. Pharmacotherapy involves oral or injectable medications: neuro-nutritional drugs, muscle relaxants, blood circulation enhancing drugs, etc., including drugs that construct and repair brain tissue (cells), like lecithin (containing phosphatidylcholine, cephalin, sphingomyelin, etc.), which can repair brain cell membrane damage caused by trauma, bleeding, hypoxia, protect nerve cells, accelerate nerve excitation conduction, improve learning and memory functions. Also, drugs that promote DNA synthesis in brain cells, improve brain cells' oxygen utilization rate, improve cerebral energy metabolism, enhance brain function, provide various amino acids needed for brain tissue repair and regeneration, regulate brain nerve activities, such as Gliosartan (brain enzyme lyophilized tablets), Spirulina tablets (capsules), are selected. Plus, actively supplement various vitamins, like 21-Goldvit. Hospitals with the conditions may alternatively choose the following injectables (with the same effect as tablets): Cerebrolysin, Brain peptide, Acetylglutamine, Cytidine diphosphate choline, etc. 
3. Traditional Chinese Medicine (TCM) treatments including acupuncture (with caution in cerebral palsy patients with high muscle tone), massage therapy, Chinese herbal medicine. 
4. Pediatric cerebral palsy exercise therapy: Child cerebral palsy exercise therapy is based on kinesiology and neurophysiology, using equipment or the therapist's manual techniques or the child's own strength, through active and passive movements, to achieve the recovery and treatment of general and local functions. 
(a) Common goals of child cerebral palsy exercise therapy include making movements in as normal a manner as possible, using both sides of the body, maintaining an extended position while lying, sitting, kneeling, and standing, performing daily life-related movements and activities, and preventing deformities. 
(b) Training goals for different types of child cerebral palsy include for spastic type, relaxing stiff muscles, avoiding spastic postures in movements, preventing deformities; for athetoid type, training gripping actions to stabilize involuntary movements, and if abnormal postural changes are unpredictable, follow the goals for the spastic type; for ataxic type, improving balance in kneeling, standing positions and walking, standing and walking steadily, controlling unstable tremors, especially in both hands."
"Visual impairment, retinal detachment, and distorted vision",Central Serous Chorioretinopathy (CSC),"What are the treatment options for Central Serous Chorioretinopathy (CSC)? 
Recognizing CSC as a self-limiting condition, many ophthalmologists advocate for a conservative treatment approach. One approach involves no treatment, adopting a wait-and-see policy towards the condition; another involves administering patients with 'placebos' such as Vitamin C, Vitamin B1, Rutin, Dibazol, and Creatinine. Given the self-limiting nature of CSC, these treatments seem to also result in satisfactory 'outcomes' for patients. For conservative treatment, most patients experience spontaneous improvement within 4 to 6 months, but there is still about 5% of patients whose condition either persists or worsens, leading to significant vision loss. 
Moreover, laser photocoagulation therapy is a more commonly used treatment method for CSC."
"Ear pain, skin ulceration, purulent discharge",Otitis Externa,"Treatment options for otitis externa include topical therapy. For those with damp-heat congestion in the ear orifice, exhibiting redness, swelling, and thermalgia, it is advisable to use the residue of orally administered Chinese herbal medicine to re-brew and apply the warm extract to the affected ear. Topical application of Coptis ointment, or a mixture of Zijin ingot and Niuhuang Jiedu pills dissolved in boiled water for external application to the reddened and swollen external auditory canal is recommended. In cases of enlarged preauricular or postauricular lymph nodes, a mixture of Zijin ingot and Niuhuang Jiedu pills dissolved in water for external application can be used. Other treatment methodologies include acupuncture therapy: For swelling and pain, acupuncture points such as Hegu, Neiguan, and Shaoshang can be stimulated to reduce swelling and alleviate pain."
"Itching in the nose, sneezing, pale and swollen nasal mucosa, runny clear mucus, coughing",Allergic Rhinitis,"Treatment options for allergic rhinitis include: 1. Avoiding contact with allergens, such as keeping indoor dust mite levels below 20/m2; maintaining indoor relative humidity below 60% to avoid discomfort at lower levels (e.g., below 30%-40%); vacuuming carpets; washing bedding and curtains as dust mite allergens are water-soluble; using air purifiers and vacuum cleaners with filters; and avoiding allergens during specific pollen seasons or from animal fur for those allergic. 2. Pharmacotherapy involves the use of intranasal and oral medications, which may have variable effectiveness among patients. There is no sustained effect after discontinuation, indicating the need for continuous treatment for persistent allergic rhinitis, without rapid development of drug resistance. Intranasal administration has many advantages, allowing high concentrations of medication to directly act on the nasal area, minimizing systemic side effects. However, for patients with other allergic diseases, systemic pharmacotherapy is recommended as intranasal medication is not the best choice. Medications include (1) Antihistamines (Oral or nasal second-generation or newer H1 antihistamines are effective for relieving symptoms like nasal itching, sneezing, and runny nose, suitable for mild intermittent and persistent allergic rhinitis. Used in combination with intranasal corticosteroids for moderate-severe allergic rhinitis.) (2) Corticosteroids (Intranasal corticosteroids relieve symptoms like nasal congestion, runny nose, and sneezing. Oral corticosteroids can be used for short-term treatment in severe cases unresponsive or intolerant to intranasal medication.) (3) Leukotriene antagonists (Effective for allergic rhinitis and asthma.) (4) Chromones (Somewhat effective for nasal symptoms; eye drops effective for eye symptoms.) (5) Intranasal decongestants (Relieve nasal congestion, treatment duration should be limited to less than 7 days.) (6) Intranasal anticholinergic drugs (Effectively inhibit runny nose.) (7) Herbal medicines (Effective in alleviating symptoms, with the same treatment principles for children and elderly, but special attention should be paid to avoid adverse effects.) (8) Pregnant patients should use medications cautiously. 3. Immunotherapy, recommended by the World Health Organization, can alter the disease course through induction of clinical and immunological tolerance with long-term effects, preventing the development of allergic diseases. Specific allergen immunotherapy is commonly administered via subcutaneous injections or sublingual delivery, with treatment phases including dose accumulation and maintenance, lasting not less than 2 years, using standardized allergen vaccines, primarily indicated for patients unresponsive to conventional pharmacotherapy. Contraindications include active asthma episode, use of beta-blockers, concurrent autoimmune diseases, pregnancy, and lack of patient understanding of treatment risks and limitations. Adverse reactions may occur. 4. Surgical treatment is indicated for persistent nasal congestion symptoms unimproved by medication or immunotherapy with significant signs affecting life quality, significant anatomical abnormalities of the nasal cavity with functional impairment, and concomitant chronic rhinitis or nasal polyps unresponsive to medication. Surgery is not a routine treatment method for this condition."
"Milk secretion, amenorrhea, menstrual irregularity",Galactorrhea-Amenorrhea Syndrome,"Treatment for Galactorrhea-Amenorrhea Syndrome generally focuses on addressing the underlying causes which often result in elevated prolactin levels, thereby leading to the syndrome. 
1. For those caused by pituitary tumors, such as pituitary microadenomas, or other tumors related to prolactin secretion, surgical removal is recommended if conditions permit; if surgery is not feasible, options include radiotherapy, chemotherapy, and traditional Chinese medicine. 
2. In cases where elevated prolactin levels are induced by certain medications, immediate discontinuation of these drugs is advised, with symptoms typically subsiding afterward. 
3. If the syndrome is due to hypothalamic-pituitary-ovarian axis dysfunction leading to elevated prolactin levels, medication aimed at adjusting this functional system should be administered to decrease prolactin levels and restore normal ovulation and menstruation. Drugs like bromocriptine, which targets cells in the pituitary gland secreting prolactin, and Levodopa, which primarily acts on the hypothalamus enhancing the action of prolactin-inhibiting factors, are utilized with dosage strictly following the doctor's prescription. Menstruation can often be restored within 1 month to several months of medication, though side effects such as nausea, vomiting, and dizziness may occur. 
4. For those caused by hypothyroidism, oral administration of thyroid hormone is appropriate, with dosage following medical advice. 
5. Traditional Chinese medicine can effectively adjust the functional status of the hypothalamic-pituitary-ovarian axis, reducing prolactin secretion levels. Not only does it improve symptoms, but it also adjusts the body's internal environment, avoiding the side effects of Western medicine treatments. For those with qi and blood deficiency, treatments like replenishing qi and nourishing blood with modified Ginseng Nourishing Decoction can be applied; for those with liver qi stagnation, treatments like soothing the liver and regulating qi, promoting qi circulation and blood activation with a combination of Xiao Yao San and Tao Hong Si Wu Tang can be used. It's essential that treatment with traditional Chinese medicine is predicated on accurate diagnosis, and in the presence of organic lesions such as pituitary tumors, surgical intervention should not be delayed."
"Characterized by erythematous papules and plaques on the extensor surfaces of the extremities, upper trunk, and upper thighs, presenting in a bilateral symmetrical distribution",Pruritic Urticarial Papules and Plaques of Pregnancy (PUPPP),"Treatment options for Pruritic Urticarial Papules and Plaques of Pregnancy (PUPPP) include: 
1. Advising patients to maintain a regular lifestyle, take frequent showers to keep the skin clean, and avoid consuming spicy and irritating foods. 

2. Glucocorticoids have been shown to be effective for severe cases of PUPPP and can reduce the occurrence of stillbirth. Pregnant women should use these medications for the shortest possible duration, often choosing prednisone 40mg/day, with the course being shortened as much as possible. Dosages should be gradually reduced as symptoms significantly diminish until completely stopped. Glucocorticoids should not be used post-delivery. 

3. For itch relief, topical applications may be used, including a glycerin/sodium chloride (compound glycerin) wash (glycerin 28ml, 95% ethanol 14ml, topped up with distilled water to 100ml), an anti-itch tincture (liquefied phenol 1g, menthol 1g, salicylic acid 2g, 75% ethanol made up to 100ml), and calamine lotion (calamine 15g, zinc oxide 10g, glycerin 20ml, calcium hydroxide solution 100ml). 

4. Antihistamines are commonly prescribed; diphenhydramine 25mg 3-4 times/day post-meal; chlorphenamine 4mg, thrice daily by mouth."
"General joint pain, fever, headache",Osteomyelitis,"What are the treatment methods for Osteomyelitis? The focus for Osteomyelitis prevention involves the elimination of infection sources and interruption of transmission pathways to effectively prevent the disease. In terms of Traditional Chinese Medicine (TCM) treatment for Osteomyelitis, there is currently no available information. For Western medicine treatment, systemic therapy is primarily used. The primary medication is Benzylpenicillin, with a total dose recommendation of 6 million units: an initial intramuscular injection of 300,000 units followed by 600,000 units each time, twice a day via intramuscular injections. Local symptomatic treatment can be applied to the affected limb. This includes timely wound cleaning and dressing changes, and the temporary use of an external fixation brace to immobilize the limb and alleviate pain. Generally, bone lesions can disappear after treatment during the active phase, with minor cases showing normal bone X-rays. In severe cases, residual bone deformities and osteophyte sclerosis may occur. However, pain generally subsides quickly."
"Skin itching, skin pain, localized skin heat",Demodicosis,"For the treatment of demodicosis, the initial step is to avoid environments infested with mites, and to change clothing and bathe in a timely manner. Topical application of anti-inflammatory and antipruritic medications, such as 1% phenol or calamine lotion, 20% osthole, ethanol, etc., is recommended. In cases where the rash is widespread and inflammation is significant, antihistamines or corticosteroids may be administered. For intestinal acariasis, pulmonary acariasis, or urinary tract infections caused by dust mites, oral chloroquine can be prescribed."
"Eczematous skin lesions, pale red scaling patches, exudation and erosion, no obvious itching, ulceration",Paget's Disease of the Breast,"What are the treatment options for Paget's Disease of the Breast?
    Treatment Principles
        1. For Paget’s disease of the breast without evidence of invasive cancer, simple mastectomy may be performed. If breast cancer is present, it is treated according to breast cancer protocols.
        2. For extramammary Paget’s disease, wide local excision is recommended. The excised tissue should be examined pathologically to determine complete removal, and regular follow-up exams (every 3 months) are advised. If associated with rectal, cervical, or apocrine gland cancer, treatment should be integrated based on the type of tumor.
        3. Radiotherapy is often used for cases where surgery is not tolerable or feasible. Basic medication A Pharmacopoeial medications B Novel and special medication C
    Medication Principles
        No confirmed effective medications are identified for Paget’s disease. Symptomatic treatment is applied when surgery is not an option.
"
"Gunner's wrist deformity, forked wrist deformity, bruising, tenderness, pain",Radial Head Fracture,"The treatment options for radial head fractures include: For crack fractures, immobilization in the short term is followed by early mobilization. For those with minimal displacement, traction in extension and rotation of the forearm in pronation help in restoring the radial head to its round or near-round shape, thus avoiding interference with forearm rotation. After reduction, the fracture is immobilized with a plaster cast. The cast is removed after 2 to 3 weeks, followed by exercises for elbow joint mobility. For comminuted fractures with displacement or unsatisfactory reduction, early radial head resection surgery should be considered, limited to adult patients only. The resection should not be lower than the joint surface of the radial tuberosity. After smoothing the cut end and removing the surrounding fragmented bones, the surrounding soft tissue is sutured over the rough surface of the radial stump. A sling is used to suspend the elbow joint in a functional position postoperatively, and activities can begin after 2 weeks."
"Translucent papules, skin lesions located on the face",Syringoma,"The treatment options for Syringoma are as follows: This condition’s etiology is unknown, and there are no curative treatments targeting the cause. Lesions smaller than 1cm may not require intervention. For solitary lesions, excision, electrodessication, or cryotherapy can be performed. Topically, 1% Atropine or 0.01% Scopolamine butylbromide ointment can be applied once per day. For cysts with concurrent infections, incision and drainage should be performed, accompanied by intravenous antibiotic therapy to treat the infection. Prognosis: The number and visibility of skin lesions increase with hotter temperatures and decrease or lessen during winter."
"Pustules, ulcers, lymph node enlargement, papules",Pyoderma Gangrenosum,"The treatment methods for Pyoderma Gangrenosum include the following: Initially, a 2% iodine solution can be applied topically once a day to keep the area clean. For furuncles, high osmolarity saline or saline soaked gauze with antibiotics should be used for continuous moist dressing to promote the localization, softening, and bursting of the early stages of the infection. Incision and drainage should be considered only when acute inflammation is controlled, swelling is localized, and a clear subcutaneous abscess has formed but has not burst for a long time, focusing on the thin-skinned center of the abscess without separating the abscess cavity. After rupturing or incising for drainage, continue the use of high osmolarity saline soaked gauze for moist dressing to achieve good drainage, ensuring timely replacement of the soaked gauze. The moist dressing should continue until the pus discharge ceases and the wound surface starts to heal. Stopping the moist dressing too early can cause the condition to worsen due to blocked pus drainage. Sometimes, if the pus cannot be easily drained, tweezers can be used gently to assist, but force should not be used on undetached pus or necrotic tissue to prevent tearing and spread of infection. For facial furuncles accompanied by local cellulitis and facial carbuncles, systemic antimicrobial medications should be administered. It is advisable to conduct bacterial culture and sensitivity tests from the pus to choose the appropriate antibiotic accurately. If sepsis is suspected, repeated blood cultures should be done, and medication should be chosen based on the results. If the causative agent is not immediately identified, medications sensitive to Staphylococcus aureus such as penicillin, new-generation penicillins, cephalosporins, and erythromycin can be temporarily used. Broad-spectrum antibiotics may also be considered, potentially in combination for a better effect. Severe cases should receive comprehensive supportive treatment, including bed rest, improved nutrition, fluids or small volume blood transfusions. In cases of septic shock, comprehensive measures should be swiftly taken to correct hypotension resulting from circulatory failure. For patients in coma or with severe pulmonary complications, where there is an excess of respiratory secretions and poor cough reflex, a tracheotomy may be performed to facilitate suction of secretions and improve oxygenation."
"Amenorrhea, secondary amenorrhea, Cushing's syndrome, pelvic mass, headache, vulvar atrophy, nipple discharge, scanty menstruation",Galactorrhea,"Treatment options for Galactorrhea include: 

1. Medication: 
   a. Thyroxine for primary hypothyroidism-induced cases: Replacement therapy with thyroxine leads to cessation of lactation and resumption of normal menstruation. 
   b. Bromocriptine: A dopamine agonist acting on hypothalamic dopamine receptors and directly on pituitary lactotroph cells, alleviating PRL blockade and restoring normal ovulatory cycles. Initially, 1.25 mg twice daily, increased to 2.5 mg 2-3 times daily. For large pituitary adenomas, initial doses of 7.5-12 mg, with a total dose range of 75-950 mg. Adverse effects include nausea, vomiting, dizziness, and gastric discomfort, which generally improve after the first week of treatment. Discontinuation or post-pregnancy may lead to recurrence, but medication remains effective upon reinstatement. If pregnancy is diagnosed during treatment, medication should be immediately discontinued to prevent fetal malformations, although no fetal abnormalities have been reported in early pregnancy exposures. 
   c. Levodopa (L-dopa) for non-pituitary tumor-induced cases enhances the inhibitory effect of hypothalamic prolactin inhibitory factor, reducing prolactin levels. Typical dosage is 0.5 mg three times daily for six months, with the most common side effects being nausea and vomiting. Symptoms may recur after discontinuation. 
   d. Gonadotropin therapy: Enhances ovarian function and restores hypothalamic-pituitary-ovarian axis physiological function. Use HMG injections, containing both FSH and LH, 75 U daily for 7-10 days until sufficient estrogenic activity is observed or estrogen levels reach 300 pg/ml or 50 ng/24h, indicating follicle maturity. Follow with hCG 2000 U for 2-3 days to induce ovulation. 
   e. CB-153: Similar to dienestrol. CB-153 capsules, one in the morning and one at night. 
   f. Clomiphene: Restores full hypothalamic-pituitary-ovarian axis function and induces ovulation. Start on the fifth day of a natural or induced menstrual cycle, 50 mg once daily for five days. 
   g. Vitamin B6: Acts as a coenzyme for dopamine decarboxylase, facilitating conversion of dopamine in hypothalamic neurons, stimulating PIF activity, and suppressing PRL secretion. Dosage: 200-600 mg daily for extended periods. 

2. Radiotherapy (Chemotherapy): 
   Applies only to patients who have failed other treatments and exhibit progressive disease. Main concern is pituitary function decline in the years following treatment. Ongoing endocrine function monitoring (at least annually) and sella turcica evaluation are required after treating large adenomas. 

3. Surgical Treatment: 
   Indicated for large pituitary adenomas (diameter > 3 cm), craniopharyngiomas, and hyperthyroidism-induced galactorrhea. Surgical intervention is considered."
"Bone lesions, pain, functional impairment",Fibrous Dysplasia,"What are the treatment options for Fibrous Dysplasia? 
Treatment for Fibrous Dysplasia can be divided into two main approaches: one targeting the lesion itself and the other addressing fractures and deformities caused by the lesion. Currently, there are no ideal treatments at the genetic level. As a congenital disease, asymptomatic lesions generally do not require treatment."
"Intolerance to cold, hot, sour, and sweet foods; toothache",Dental Caries,"The objectives of treating dental caries are to halt the disease process, prevent further progression, and restore the tooth's natural form and function. Due to the unique structure of teeth, while they have remineralization capabilities, they lack the ability to self-repair substantial defects. Except for a few cases where medications can be utilized, treatments generally involve restorative procedures such as fillings, inlays, or crowns based on the extent and volume of the tooth defect, to restore shape and function. 1. Medication Treatment: This involves applying medication to inhibit the progression of dental caries, suitable for shallow caries in permanent teeth and anterior deciduous teeth. Common medications include silver diamine fluoride and sodium fluoride. The process includes removing decayed tissue as much as possible, isolating saliva with a cotton roll, drying the tooth surface, applying silver diamine fluoride solution with a small cotton ball for 1-2 minutes, drying it with a warm air gun, and repeating the application. Then, a cotton ball dipped in clove oil is used for application, turning it back to black color, and drying to complete the treatment. This blocks the dental tubules with silver deposits, preventing caries progression. Treatments are usually conducted once a week, with 3-4 sessions as one course of treatment, and a follow-up every 3-6 months is recommended to prevent soft tissue burns. 2. Amalgam Filling: For teeth with substantial defects, amalgam filling is a widely used and effective method. It involves removing decayed and weak tooth structure, forming the cavity into a specific shape, and then filling it with amalgam to restore its natural form and function, appropriate for posterior fillings and concealed areas in anterior teeth. Stages include removing decayed tissue, forming the cavity for resistance and retention, cleaning and disinfecting the cavity, applying a base, filling it with amalgam, and polishing. 3. Composite Resin Filling: Suitable for anterior teeth and non-load bearing posterior teeth. Key points include preparing a specific cavity shape, applying a base for moderate to deep cavities, using clean and dry mixing instruments with a non-metal spatula, ensuring proper component ratio, and mixing well. The filling process should avoid moisture to prevent bubble formation and use polyester strip or glass ionomer to compress the material, followed by shaping and polishing. 4. Acid-Etching Photocured Composite Resin Filling: Used for the same indications as composite resin filling, also suitable for teeth with extensive defects, poor retention, or discoloration. The process involves thoroughly cleaning the tooth surface, covering exposed dentin with zinc phosphate cement or calcium hydroxide, acid-etching with 35% or 50% phosphoric acid for 1-2 minutes, thoroughly rinsing and drying the tooth surface, applying adhesive, filling with photocured composite resin, curing with visible light for 20-40 seconds, and finally, shaping and polishing. 5. Inlays: Made of metal or other materials fitting into the tooth cavity and serve as an inlay; those covering the occlusal surface are called onlays. Indications include large occlusal cavities in posterior teeth or teeth at risk of fracturing, interproximal cavities that cannot be restored with fillings, and as abutments for partial fixed bridges. Key steps involve removing decay and unsupported enamel, ensuring a minimum depth of 2.5mm with a 45° cavosurface margin, and an external cavity wall angle less than 5°. Additional retention features such as pins or grooves may be added, and for teeth with thin walls or weak cusps, a full occlusal preparation is advised. A model wax pattern is created, embedded promptly, and a lost-wax casting method is typically used."
